planner,start_positions_mode,terrain,probability_map,num_drones,detection_radius,time_budget,trajectories,coverage,total_distance,expected_target_detection_time,total_waypoints,coverage_per_distance,drone_times,best_fitness
greedy,circle,default_hills,hotspot_10_10,1,25.0,60.0,"[[array([ 0.       ,  0.       , 29.4832014]), array([10.       , 10.       , 31.2699603]), array([-10.        ,  10.        ,  27.57838823]), array([-10.        ,  30.        ,  25.43341673]), array([10.        , 30.        , 31.16127075]), array([ 30.        , -10.        ,  25.45648411]), array([30.        , 10.        , 31.16113825]), array([ 10.        , -10.        ,  27.72995755]), array([-30.        ,  10.        ,  25.79293224]), array([30.        , 30.        , 31.16100567])]]",0.6122448979591837,278.12043648876346,18.608653439487917,10,0.002201366090491949,[np.float64(55.624087297752695)],
greedy,circle,default_hills,hotspot_10_10,2,25.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([ 10.        , -10.        ,  27.72995755]), array([ 30.        , -10.        ,  25.45648411]), array([10.        , 30.        , 31.16127075]), array([-30.        ,  10.        ,  25.79293224]), array([-30.        ,  30.        ,  25.00402714]), array([ 30.        , -30.        ,  25.10715422]), array([-30.        , -30.        ,  25.79278845])], [array([-2.00000000e+01,  2.44929360e-15,  3.46519003e+01]), array([-10.        ,  10.        ,  27.57838823]), array([-10.        ,  30.        ,  25.43341673]), array([30.        , 30.        , 31.16100567]), array([-10.        , -30.        ,  28.66094186]), array([ 10.        , -30.        ,  30.84134918]), array([-30.        , -10.        ,  30.84439491]), array([-30.        ,  20.        ,  25.06780257]), array([-20.        ,  20.        ,  25.23440136]), array([-20.        ,  30.        ,  25.04684133])]]",0.9183673469387755,553.1613649799681,14.588532532277016,18,0.0016602159967770576,"[np.float64(57.855551137757715), np.float64(52.77672185823588)]",
greedy,circle,default_hills,hotspot_10_10,3,25.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([ 10.        , -10.        ,  27.72995755]), array([30.        , 10.        , 31.16113825]), array([-30.        ,  10.        ,  25.79293224]), array([-30.        ,  30.        ,  25.00402714]), array([-30.        , -30.        ,  25.79278845]), array([ 0.       ,  0.       , 29.4832014]), array([10.        ,  0.        , 27.85118082])], [array([-10.        ,  17.32050808,  25.96367205]), array([10.        , 30.        , 31.16127075]), array([-10.        ,  30.        ,  25.43341673]), array([-10.        , -30.        ,  28.66094186]), array([ 10.        , -30.        ,  30.84134918]), array([ 20.        , -20.        ,  26.59282227]), array([ 30.        , -20.        ,  25.14693977]), array([-20.        ,  30.        ,  25.04684133])], [array([-10.        , -17.32050808,  38.36164561]), array([ 30.        , -10.        ,  25.45648411]), array([30.        , 30.        , 31.16100567]), array([ 30.        , -30.        ,  25.10715422]), array([-30.        , -10.        ,  30.84439491]), array([-30.        ,  20.        ,  25.06780257]), array([-20.        ,  20.        ,  25.23440136])]]",1.0,703.8862944631155,9.059528552475738,23,0.0014206840051669755,"[np.float64(47.12427696193024), np.float64(44.166962962999314), np.float64(49.486018967693546)]",
greedy,circle,default_hills,hotspot_10_10,4,25.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([ 10.        , -10.        ,  27.72995755]), array([-10.        ,  30.        ,  25.43341673]), array([-30.        , -10.        ,  30.84439491]), array([-30.        ,  20.        ,  25.06780257]), array([-20.        ,  20.        ,  25.23440136])], [array([1.22464680e-15, 2.00000000e+01, 2.82280931e+01]), array([-10.        ,  10.        ,  27.57838823]), array([-30.        ,  10.        ,  25.79293224]), array([-30.        ,  30.        ,  25.00402714]), array([-20.        ,  30.        ,  25.04684133]), array([ 20.        , -20.        ,  26.59282227])], [array([-2.00000000e+01,  2.44929360e-15,  3.46519003e+01]), array([ 30.        , -10.        ,  25.45648411]), array([ 10.        , -30.        ,  30.84134918]), array([-10.        , -30.        ,  28.66094186]), array([ 0.       ,  0.       , 29.4832014]), array([ 30.        , -20.        ,  25.14693977])], [array([-3.67394040e-15, -2.00000000e+01,  3.42919322e+01]), array([30.        , 30.        , 31.16100567]), array([ 30.        , -30.        ,  25.10715422]), array([-30.        , -30.        ,  25.79278845]), array([10.        ,  0.        , 27.85118082])]]",1.0,670.2495795963399,8.344809845979837,23,0.0014919815400738533,"[np.float64(28.906144147266108), np.float64(25.660427549278246), np.float64(33.734460012830304), np.float64(45.74888420989331)]",
greedy,circle,default_hills,hotspot_10_10,5,25.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([ 30.        , -10.        ,  25.45648411]), array([30.        , 10.        , 31.16113825]), array([ 30.        , -30.        ,  25.10715422]), array([ 30.        , -20.        ,  25.14693977]), array([-20.        ,  30.        ,  25.04684133])], [array([ 6.18033989, 19.02113033, 31.35710019]), array([10.        , 30.        , 31.16127075]), array([30.        , 30.        , 31.16100567]), array([-30.        ,  30.        ,  25.00402714]), array([-30.        ,  20.        ,  25.06780257])], [array([-16.18033989,  11.75570505,  26.79863087]), array([-10.        ,  10.        ,  27.57838823]), array([-10.        , -30.        ,  28.66094186]), array([-30.        , -30.        ,  25.79278845]), array([ 0.       ,  0.       , 29.4832014])], [array([-16.18033989, -11.75570505,  42.73180667]), array([-10.        ,  30.        ,  25.43341673]), array([-30.        ,  10.        ,  25.79293224]), array([-30.        , -10.        ,  30.84439491]), array([-20.        ,  20.        ,  25.23440136])], [array([  6.18033989, -19.02113033,  32.55684288]), array([ 10.        , -10.        ,  27.72995755]), array([ 10.        , -30.        ,  30.84134918]), array([ 20.        , -20.        ,  26.59282227]), array([10.        ,  0.        , 27.85118082])]]",1.0,562.5648196598424,4.521918413062965,26,0.001777572939247525,"[np.float64(31.274528520214954), np.float64(20.38825461944484), np.float64(21.855578219150775), np.float64(25.32976244368843), np.float64(13.664840129469473)]",
greedy,circle,default_hills,hotspot_10_10,6,25.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([ 30.        , -10.        ,  25.45648411]), array([-30.        ,  10.        ,  25.79293224]), array([-30.        ,  20.        ,  25.06780257])], [array([10.        , 17.32050808, 33.41402043]), array([10.        , 30.        , 31.16127075]), array([ 30.        , -30.        ,  25.10715422]), array([ 30.        , -20.        ,  25.14693977])], [array([-10.        ,  17.32050808,  25.96367205]), array([-10.        ,  30.        ,  25.43341673]), array([-30.        ,  30.        ,  25.00402714]), array([-20.        ,  30.        ,  25.04684133])], [array([-2.00000000e+01,  2.44929360e-15,  3.46519003e+01]), array([ 10.        , -10.        ,  27.72995755]), array([ 10.        , -30.        ,  30.84134918]), array([10.        ,  0.        , 27.85118082])], [array([-10.        , -17.32050808,  38.36164561]), array([30.        , 30.        , 31.16100567]), array([-30.        , -10.        ,  30.84439491]), array([-20.        ,  20.        ,  25.23440136])], [array([ 10.        , -17.32050808,  30.25822963]), array([-10.        , -30.        ,  28.66094186]), array([-30.        , -30.        ,  25.79278845])]]",1.0,510.09585771073966,3.9107470911457196,23,0.0019604158412262008,"[np.float64(17.536261732877914), np.float64(17.28255848139814), np.float64(8.539055040885671), np.float64(16.55214222057532), np.float64(33.32135566554108), np.float64(8.787798400869814)]",
ga,circle,default_hills,hotspot_10_10,1,25.0,60.0,"[[array([ 0.       ,  0.       , 29.4832014]), array([-10.        ,  10.        ,  27.57838823]), array([-10.        ,  30.        ,  25.43341673]), array([30.        , 10.        , 31.16113825]), array([30.        , 10.        , 31.16113825]), array([ 30.        , -10.        ,  25.45648411]), array([ 10.        , -10.        ,  27.72995755]), array([10.        , 30.        , 31.16127075]), array([10.       , 10.       , 31.2699603])]]",0.7916557915423673,180.5448634687267,23.283481920380083,9,0.0043848148118569704,[np.float64(36.10897269374534)],0.6111109280736406
ga,circle,default_hills,hotspot_10_10,2,25.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([10.       , 10.       , 31.2699603]), array([ 10.        , -10.        ,  27.72995755]), array([ 30.        , -10.        ,  25.45648411])], [array([-2.00000000e+01,  2.44929360e-15,  3.46519003e+01]), array([-10.        ,  10.        ,  27.57838823]), array([30.        , 10.        , 31.16113825]), array([30.        , 30.        , 31.16100567]), array([10.        , 30.        , 31.16127075]), array([-10.        ,  30.        ,  25.43341673])]]",0.804787246520342,171.68473028946673,17.064261694962955,10,0.004687587796325516,"[np.float64(10.981614497160498), np.float64(23.355331560732846)]",0.6331025162308752
ga,circle,default_hills,hotspot_10_10,3,25.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([10.       , 10.       , 31.2699603]), array([-10.        ,  10.        ,  27.57838823])], [array([-10.        ,  17.32050808,  25.96367205]), array([-10.        ,  30.        ,  25.43341673]), array([10.        , 30.        , 31.16127075]), array([10.        , 30.        , 31.16127075])], [array([-10.        , -17.32050808,  38.36164561]), array([ 10.        , -10.        ,  27.72995755]), array([ 30.        , -10.        ,  25.45648411]), array([30.        , 10.        , 31.16113825])]]",0.7916557915423673,133.03116403174545,12.889562121218509,11,0.0059509047921542145,"[np.float64(6.96124700197942), np.float64(6.698924051470212), np.float64(12.946061752899457)]",0.6586246275106219
ga,circle,default_hills,hotspot_10_10,4,25.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([10.       , 10.       , 31.2699603])], [array([1.22464680e-15, 2.00000000e+01, 2.82280931e+01]), array([10.        , 30.        , 31.16127075]), array([10.        , 30.        , 31.16127075]), array([10.        , 30.        , 31.16127075])], [array([-2.00000000e+01,  2.44929360e-15,  3.46519003e+01]), array([-10.        ,  10.        ,  27.57838823]), array([ 10.        , -10.        ,  27.72995755]), array([ 10.        , -10.        ,  27.72995755]), array([ 30.        , -10.        ,  25.45648411]), array([30.        , 10.        , 31.16113825])], [array([-3.67394040e-15, -2.00000000e+01,  3.42919322e+01]), array([-10.        , -10.        ,  41.31298582]), array([-10.        ,  30.        ,  25.43341673]), array([-10.        ,  10.        ,  27.57838823])]]",0.7916557915423673,192.87565576364747,15.009902816148648,16,0.004104487880588069,"[np.float64(2.893679157239979), np.float64(2.888622725328971), np.float64(17.004726244166594), np.float64(15.788103025993951)]",0.5987801357787198
